id_subsls,idfrs,idsls,kdprov,kdkab,kdkec,kddesa,kdsls,klas,nmprov,nmkab,nmkec,nmdesa,nama_sls,jenis_sls,ketua_sls,semester_id,semester,j_subsls,muatan_kk,btt,btt_kosong,bku,bbtt_non_usaha,muatan_usaha,muatan_total,nama_wke,jam_operasional,jumlah_shift,telepon_email,muatan_dominan,flag_perubahan_sls,is_deleted,kd_subsls
3173010001000101,19778318,31730100010001,31,73,010,001,0001,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 001 RW 001,SLS,JUMARDI,28,2025_1,3,35,144,0,15,1,15,160,APARTEMEN GP PLAZA,06.00 s/d 23.00,3,mira 081919150512,4,2,0,01
3173010001000102,19778318,31730100010001,31,73,010,001,0001,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 001 RW 001,SLS,JUMARDI,28,2025_1,3,11,38,0,0,0,0,38,APARTEMEN GP PLAZA,06.00 S/D23.00,3,MIRA 081919150512,4,2,0,02
3173010001000103,19778318,31730100010001,31,73,010,001,0001,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 001 RW 001,SLS,JUMARDI,28,2025_1,3,10,6,0,28,0,32,42,-,-,-,-,1,2,0,03
3173010001000200,19778319,31730100010002,31,73,010,001,0002,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 002 RW 001,SLS,SUWATNO,28,2025_1,1,15,8,0,30,0,30,45,-,-,-,-,1,1,0,00
3173010001000300,19778320,31730100010003,31,73,010,001,0003,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 003 RW 001,SLS,ABDUL BASIR,28,2025_1,1,45,30,0,18,2,39,86,-,-,-,-,1,1,0,00
3173010001000400,19778321,31730100010004,31,73,010,001,0004,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 004 RW 001,SLS,LEATRY,28,2025_1,1,131,95,0,27,0,53,184,-,-,-,-,1,1,0,00
3173010001000500,19778322,31730100010005,31,73,010,001,0005,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 001 RW 002,SLS,BUDIMAN A,28,2025_1,1,21,16,0,51,1,51,73,-,-,-,-,1,2,0,00
3173010001000601,19778323,31730100010006,31,73,010,001,0006,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 002 RW 002,SLS,WASKITO P,28,2025_1,7,0,0,0,138,0,138,138,PASAR PALMERAH,09.00 S/D 01.00,3,SYAMSUDIN 08111760808,8,1,0,01
3173010001000602,19778323,31730100010006,31,73,010,001,0006,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 002 RW 002,SLS,WASKITO P,28,2025_1,7,0,0,0,227,0,227,227,PASAR PALMERAH,09.00 S/D 01.00,3,SYAMSUDIN 08111760808,8,1,0,02
3173010001000603,19778323,31730100010006,31,73,010,001,0006,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,RT 002 RW 002,SLS,WASKITO P,28,2025_1,7,0,0,0,189,0,189,189,PASAR PALMERAH,09.00 S/D 01.00,3,SYAMSUDIN 08111760808,8,1,0,03
