fid,kk,gid,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,subsls,sumber,dom_sls,periode,tingkat,idsubsls,nm_gedung,wil_campur
1,,588633,,0.006535459056708,,"31730100020070","73","010","0070",JAKARTA PUSAT,TANAH ABANG,RT 008 RW 05,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002007000",,
2,,588735,,0.001193874437295,,"31730100020122","73","010","0122",JAKARTA PUSAT,TANAH ABANG,RT 008 RW 09,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002012200",,
3,,588863,,0.003616255119997,,"31730100020056","73","010","0056",JAKARTA PUSAT,TANAH ABANG,RT 014 RW 04,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002005600",,
4,,588867,,0.01176305419362,,"31730100020011","73","010","0011",JAKARTA PUSAT,TANAH ABANG,RT 011 RW 01,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002001100",,
5,,588868,,0.0006694006977,,"31730100020115","73","010","0115",JAKARTA PUSAT,TANAH ABANG,RT 001 RW 09,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002011500",,
6,,588869,,0.041752336681372,,"31730100025003","73","010","5003",JAKARTA PUSAT,TANAH ABANG,LAHAN PERSIAPAN,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002500300",,
7,,588870,,0.012209791841301,,"31730100020028","73","010","0028",JAKARTA PUSAT,TANAH ABANG,RT 015 RW 02,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002002800",,
8,,588871,,0.005600405464848,,"31730100020021","73","010","0021",JAKARTA PUSAT,TANAH ABANG,RT 008 RW 02,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002002100",,
9,,588872,,0.031263713077306,,"31730100020034","73","010","0034",JAKARTA PUSAT,TANAH ABANG,RT 006 RW 03,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002003400",,
10,,588873,,0.035803335249603,,"31730100020084","73","010","0084",JAKARTA PUSAT,TANAH ABANG,RT 010 RW 06,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002008400",,
11,,588875,,0.015712733647331,,"31730100020003","73","010","0003",JAKARTA PUSAT,TANAH ABANG,RT 003 RW 01,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002000300",,
12,,588876,,0.050613914472888,,"31730100020064","73","010","0064",JAKARTA PUSAT,TANAH ABANG,RT 002 RW 05,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002006400",,
13,,588877,,0.010802668031588,,"31730100020016","73","010","0016",JAKARTA PUSAT,TANAH ABANG,RT 003 RW 02,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002001600",,
14,,588878,,0.018659559550517,,"31730100020065","73","010","0065",JAKARTA PUSAT,TANAH ABANG,RT 003 RW 05,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002006500",,
15,,588879,,0.001802393767166,,"31730100020092","73","010","0092",JAKARTA PUSAT,TANAH ABANG,RT 003 RW 07,,"002","31",,,BENDUNGAN HILIR,DKI JAKARTA,,,,"00",,,2024_1,,"3173010002009200",,
